,geo,population,time,PPC_impression,Facebook_impression,Display_impression,Youtube_impression,PPC_spend,Facebook_spend,Display_spend,Youtube_spend,conversion,organic_impression,revenue_per_conversion_extimated,revenue_per_conversion_monthly,revenue_per_conversion_mixed,revenue_per_conversion_3month,organic_spend,revenue_per_conversion_adjusted,
1,CZ,10609239,2020-03-02,99360,0,2132751,0,81263,0,53846,0,524,129168,93.64599237,420,2268,1260,,92.17557252,1.470419847
2,CZ,10609239,2020-03-09,81304,0,1465152,0,68502,0,43122,0,504,105695,66.03690476,420,2268,1260,,65,1.036904762
3,CZ,10609239,2020-03-16,70287,0,2083681,0,64705,0,50049,0,580,91373,61.79793103,420,2268,1260,,60.82758621,0.9703448276
4,CZ,10609239,2020-03-23,83682,0,4569156,0,94112,0,78471,0,620,108787,49.55225806,420,2268,1260,,48.77419355,0.7780645161
5,CZ,10609239,2020-03-30,68627,0,3788748,1236748,143007,0,58699,56235,506,89215,77.58181818,420,2268,1260,,76.36363636,1.218181818
6,CZ,10609239,2020-04-06,73193,0,7112244,1683990,141422,0,83612,89127,316,95151,114.7768987,420,2268,1260,,112.9746835,1.80221519
7,CZ,10609239,2020-04-13,60597,0,4072931,1579999,132150,0,56256,89032,347,78776,125.4276657,420,2268,1260,,123.4582133,1.96945245
8,CZ,10609239,2020-04-20,50529,0,2760035,1124682,98531,0,47520,73098,334,65688,135.4197605,420,2268,1260,,133.2934132,2.126347305
9,CZ,10609239,2020-04-27,52996,0,2123019,709057,72178,0,29286,47293,281,68895,145.7765125,420,2268,1260,,143.4875445,2.288967972
10,CZ,10609239,2020-05-04,66127,0,1185801,252820,53031,0,21206,11948,470,85965,79.89276596,420,2268,1260,,78.63829787,1.254468085
11,CZ,10609239,2020-05-11,60428,0,5130164,391058,69292,0,51180,23295,656,78556,138.5474085,420,2268,1260,,136.3719512,2.175457317
12,CZ,10609239,2020-05-18,59670,0,4191693,435277,66202,0,37987,29713,627,77571,96.63700159,420,2268,1260,,95.11961722,1.51738437
13,CZ,10609239,2020-05-25,68148,0,7596432,437465,85795,0,58287,30197,663,88592,103.6179487,420,2268,1260,,101.9909502,1.626998492
14,CZ,10609239,2020-06-01,61676,0,3192142,359918,66612,0,40870,22921,612,80179,110.8583333,420,2268,1260,,109.1176471,1.740686275
15,CZ,10609239,2020-06-08,55359,0,5390680,351461,64763,0,61102,23275,628,71967,133.8533439,420,2268,1260,,131.7515924,2.101751592
16,CZ,10609239,2020-06-15,59419,0,5379652,361359,70191,0,53102,23477,574,77245,169.4905923,420,2268,1260,,166.8292683,2.661324042
17,CZ,10609239,2020-06-22,52502,0,3937580,387632,56209,0,32152,23602,435,68253,125.5577011,420,2268,1260,,123.5862069,1.971494253
18,CZ,10609239,2020-06-29,53068,0,4563428,309290,63577,0,42997,17891,436,68988,120.3763761,420,2268,1260,,118.4862385,1.890137615
19,CZ,10609239,2020-07-06,53203,0,2320175,446889,76706,0,27909,24391,452,69164,95.34668142,420,2268,1260,,93.84955752,1.497123894
20,CZ,10609239,2020-07-13,51894,0,3064922,441299,75739,0,26126,24428,500,67462,126.3032,420,2268,1260,,124.32,1.9832
21,CZ,10609239,2020-07-20,48507,0,2785172,381691,64739,0,46273,24468,436,63059,94.9309633,420,2268,1260,,93.44036697,1.49059633
22,CZ,10609239,2020-07-27,52065,0,4206953,119847,71093,0,69159,8134,416,67685,123.0865385,420,2268,1260,,121.1538462,1.932692308
23,CZ,10609239,2020-08-03,51934,0,1737584,27901,70968,0,33017,3189,453,67514,116.800883,420,2268,1260,,114.9668874,1.833995585
24,CZ,10609239,2020-08-10,46193,0,1274506,16034,65441,0,25928,1848,511,60051,99.36849315,420,2268,1260,,97.80821918,1.560273973
25,CZ,10609239,2020-08-17,44478,0,3467498,0,60394,0,62157,0,482,57821,124.823029,420,2268,1260,,122.8630705,1.959958506
26,CZ,10609239,2020-08-24,47744,0,2434619,0,72715,0,63715,0,727,62067,110.3433287,420,2268,1260,,108.610729,1.732599725
27,CZ,10609239,2020-08-31,54347,0,2296998,0,78613,0,69784,0,631,70651,85.88098257,420,2268,1260,,84.53248811,1.348494453
28,CZ,10609239,2020-09-07,63570,0,3712025,0,81211,0,82314,0,486,82641,135.209465,420,2268,1260,,133.0864198,2.123045267
29,CZ,10609239,2020-09-14,70781,0,4971177,0,87305,0,45060,0,517,92015,139.482205,420,2268,1260,,137.2920696,2.190135397
30,CZ,10609239,2020-09-21,73157,0,4394653,0,133372,0,74378,0,537,95104,121.573743,420,2268,1260,,119.6648045,1.908938547
31,CZ,10609239,2020-09-28,73992,0,2540560,0,94161,0,5110806,0,459,96190,171.0518519,420,2268,1260,,168.3660131,2.68583878
32,CZ,10609239,2020-10-05,69827,0,1479379,0,80626,0,24910,0,397,90775,163.3712846,420,2268,1260,,160.8060453,2.565239295
33,CZ,10609239,2020-10-12,77099,0,3991267,0,87007,0,88581,0,526,100229,168.7330798,420,2268,1260,,166.0836502,2.649429658
34,CZ,10609239,2020-10-19,74715,0,6615320,0,93165,0,91100,0,607,97130,171.5235585,420,2268,1260,,168.830313,2.69324547
35,CZ,10609239,2020-10-26,82642,0,4634879,0,104649,0,64853,0,499,107435,177.0078156,420,2268,1260,,174.2284569,2.779358717
36,CZ,10609239,2020-11-02,75913,0,5315758,0,90649,0,84006,0,609,98687,147.137931,420,2268,1260,,144.8275862,2.310344828
37,CZ,10609239,2020-11-09,67026,0,2539596,0,77188,0,82217,0,482,87134,154.9221992,420,2268,1260,,152.4896266,2.432572614
38,CZ,10609239,2020-11-16,75860,16658,3274804,0,85426,22595.27,90752,0,515,98618,164.0516505,420,2268,1260,,161.4757282,2.57592233
39,CZ,10609239,2020-11-23,76018,0,2185369,0,76544,2795.12,76195,0,484,98823,130.4785124,420,2268,1260,,128.4297521,2.048760331
40,CZ,10609239,2020-11-30,77025,18024,3359131,0,75515,2803.58,99198,0,480,100133,127.1210417,420,2268,1260,,125.125,1.996041667
41,CZ,10609239,2020-12-07,75250,28728,2086121,0,81333,3560.46,91155,0,778,97825,94.88316195,420,2268,1260,,93.3933162,1.489845758
42,CZ,10609239,2020-12-14,82324,35053,1337947,0,95412,3850.41,82730,0,1116,107021,77.61657706,420,2268,1260,,76.39784946,1.218727599
43,CZ,10609239,2020-12-21,58610,282520,1511174,0,63737,23226.5,58299,0,1050,76193,69.89752381,420,2268,1260,,68.8,1.09752381
44,CZ,10609239,2020-12-28,67234,573687,1865644,0,67271,36992.84,34170,0,937,87404,81.05933831,420,2268,1260,,79.78655283,1.272785486
45,CZ,10609239,2021-01-04,105570,855811,3850849,9571,104050,63332,91740,1185,1364,137241,146.1510264,420,2268,1260,,272.8152493,-126.6642229
46,CZ,10609239,2021-01-11,119296,1110385,3663796,15863,89933,102679,86397,2092,1292,155085,126.4318885,420,2268,1260,,236.006192,-109.5743034
47,CZ,10609239,2021-01-18,190325,1107229,1972410,11279,80663,87786,62898,1505,2356,247423,70.86162988,420,2268,1260,,132.2750424,-61.41341256
48,CZ,10609239,2021-01-25,102374,936820,2596171,5968,90416,77662,68886,718,1364,133086,96.33431085,420,2268,1260,,179.8240469,-83.48973607
49,CZ,10609239,2021-02-01,119631,1160719,3138173,8640,93274,93282,77893,1106,1437,155520,69.83298539,420,2268,1260,,130.3549061,-60.52192067
50,CZ,10609239,2021-02-08,106746,752186,2877693,10279,77963,72940,70429,1293,1002,138770,95.20958084,420,2268,1260,,177.7245509,-82.51497006
51,CZ,10609239,2021-02-15,103043,775068,2062819,10221,201747,73109,66497,1294,956,133956,98.37866109,420,2268,1260,,183.6401674,-85.26150628
52,CZ,10609239,2021-02-22,91035,764217,3066648,11226,165901,72974,73882,1307,955,118346,193.1937173,420,2268,1260,,250.6806283,-57.48691099
53,CZ,10609239,2021-03-01,144640,1102603,3651416,4693,230629,84192,62747,554,1084,188032,366.9741697,420,2268,1260,,404.501845,-37.52767528
54,CZ,10609239,2021-03-08,89682,698194,3436933,11417,200880,78194,65530,1284,758,116587,217.2823219,420,2268,1260,,263.7467018,-46.46437995
55,CZ,10609239,2021-03-15,85042,466113,2326329,10863,212318,66523,45316,1297,752,110555,185.5053191,420,2268,1260,,238.4840426,-52.9787234
56,CZ,10609239,2021-03-22,94441,409444,2136856,9280,203480,52405,69274,1298,724,122773,111.878453,420,2268,1260,,167.0718232,-55.19337017
57,CZ,10609239,2021-03-29,82415,250034,4264852,4162,221428,42924,89147,568,666,107140,156.7567568,420,2268,1260,,209.3693694,-52.61261261
58,CZ,10609239,2021-04-05,79655,252576,3276098,12454,213652,35691,75873,1193,903,103552,408.1395349,420,2268,1260,,429.3023256,-21.1627907
59,CZ,10609239,2021-04-12,85966,201153,3196432,14880,198666,32151,73540,1409,854,111756,207.6112412,420,2268,1260,,244.9180328,-37.30679157
60,CZ,10609239,2021-04-19,136779,547221,3171857,14662,21112,55581,66887,1401,750,177813,350.4,420,2268,1260,,381.92,-31.52
61,CZ,10609239,2021-04-26,440994,1379085,6994395,8443,470860,121208,123006,1005,2653,573292,283.9427064,420,2268,1260,,282.1108179,1.831888428
62,CZ,10609239,2021-05-03,74609,265987,2087322,10272,149824,41269,41400,1061,794,96992,203.4634761,420,2268,1260,,254.4332494,-50.9697733
63,CZ,10609239,2021-05-10,66487,287167,4918069,12547,197947,42962,77675,1239,650,86433,350.3076923,420,2268,1260,,398.6769231,-48.36923077
64,CZ,10609239,2021-05-17,66777,236524,2475619,13550,157799,34741,44841,1264,689,86810,205.7329463,420,2268,1260,,265.7764877,-60.04354136
65,CZ,10609239,2021-05-24,48661,215448,2466686,15803,136226,32563,55839,1258,652,63259,139.4171779,420,2268,1260,,206.1349693,-66.71779141
66,CZ,10609239,2021-05-31,40374,350746,3747248,2028,139196,33889,70332,180,561,52486,117.1122995,420,2268,1260,,179.6791444,-62.56684492
67,CZ,10609239,2021-06-07,76165,437671,4737837,15653,205860,38185,112149,1277,770,99015,185.8441558,420,2268,1260,,220.9090909,-35.06493506
68,CZ,10609239,2021-06-14,43041,216251,2921846,16729,152265,28284,80338,1494,564,55953,121.2765957,420,2268,1260,,169.787234,-48.5106383
69,CZ,10609239,2021-06-21,41876,252226,4330386,19347,150452,43469,81279,1549,542,54439,125.3690037,420,2268,1260,,182.8782288,-57.50922509
